"iddate","year","idgeo","isoalpha3","fuente","indicator","area","quintile","sex","education_level","age","ethnicity","disability","migration","value","level","se","cv","sample","quality_check"
"year","2011","388004","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","women","Total","Total","Otro","Total","Total","0.714554849156081","324","2.57612415931985","72.7139909886707","231.627514489729","1"
"year","2011","388005","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","women","Total","Total","Otro","Total","Total","0.653253063586577","425","2.30529014913669","78.955536871382","278.323192446648","1"
"year","2011","388006","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","women","Total","Total","Otro","Total","Total","0.706672736991153","465","2.02804359456015","66.4758977314123","330.293263959229","1"
"year","2011","388007","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","women","Total","Total","Otro","Total","Total","0.651154361586986","157","3.74424063197166","76.6679170081433","101.944537648964","1"
"year","2011","388008","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","women","Total","Total","Otro","Total","Total","0.778679489658509","628","1.69684204081143","60.1520027223483","487.094705704283","1"
"year","2011","388009","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","women","Total","Total","Otro","Total","Total","0.740495102385206","199","2.79033923897822","53.3918443250701","146.713744777599","1"
"year","2011","388010","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","women","Total","Total","Otro","Total","Total","0.669283785262601","889","1.48778490357173","67.6570337320959","596.729042268752","1"
"year","2011","388011","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","women","Total","Total","Otro","Total","Total","0.666889375372674","643","1.81669951802104","72.5476064775916","429.207100245902","1"
"year","2011","388012","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","women","Total","Total","Otro","Total","Total","0.698257290059396","482","2.15873119208188","77.6660382828685","337.340489408518","1"
"year","2011","388013","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","women","Total","Total","Otro","Total","Total","0.661370050528301","818","1.68589375271058","79.9270543574099","540.286435599628","1"
"year","2011","388014","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","women","Total","Total","Otro","Total","Total","0.710840682384474","2094","1.02613964915995","72.6047404538482","1486.23748009276","1"
"year","2011","388001","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","Total","Total","Total","Afro","Total","Total","0.47591757496297","13445","0.419033459798126","105.57111359688","6394.00571107453","1"
"year","2011","388002","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","Total","Total","Total","Afro","Total","Total","0.493391170917501","64864","0.212364967022354","132.261758097796","32075.9695995298","1"
"year","2011","388003","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","Total","Total","Total","Afro","Total","Total","0.383774286579605","12763","0.431728736042347","138.382676133876","4923.47400244338","1"
"year","2011","388004","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","Total","Total","Total","Afro","Total","Total","0.374765887310165","10369","0.489054774702793","150.231592658609","3920.11244961546","1"
"year","2011","388005","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","Total","Total","Total","Afro","Total","Total","0.38258933219058","14436","0.394552982711274","134.094590026068","5567.86641661812","1"
"year","2011","388006","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","Total","Total","Total","Afro","Total","Total","0.387792207023235","23274","0.307851237859218","130.764585914023","9092.6793024968","1"
"year","2011","388007","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","Total","Total","Total","Afro","Total","Total","0.350573022181389","13078","0.397963627438946","137.97711334028","4609.87443910552","1"
"year","2011","388008","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","Total","Total","Total","Afro","Total","Total","0.451674747658568","28548","0.291511536026267","118.285493519066","12757.261234699","1"
"year","2011","388009","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","Total","Total","Total","Afro","Total","Total","0.405251257032711","11667","0.409622206861348","109.640155256423","4743.09366186049","1"
"year","2011","388010","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","Total","Total","Total","Afro","Total","Total","0.350174143652249","26027","0.270466190010914","127.687188422833","9151.60030996829","1"
"year","2011","388011","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","Total","Total","Total","Afro","Total","Total","0.342366953348115","23148","0.295624607709494","138.530568659518","7935.40743027935","1"
"year","2011","388012","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","Total","Total","Total","Afro","Total","Total","0.38345145457209","24247","0.317129828722623","147.103370537535","9312.30059164259","1"
"year","2011","388013","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","Total","Total","Total","Afro","Total","Total","0.354893690290786","31625","0.265942110038173","145.913650769213","11221.6797520749","1"
"year","2011","388014","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","Total","Total","Total","Afro","Total","Total","0.468134283224136","68926","0.189842746007348","116.167771865558","32099.3641872069","1"
"year","2011","388001","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","Total","Total","Total","Otro","Total","Total","0.512890924573579","855","1.67782503965192","99.1204809880352","438.342331354243","1"
"year","2011","388002","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","Total","Total","Total","Otro","Total","Total","0.50887041718681","7924","0.598296924739234","125.916758931041","4031.98136523625","1"
"year","2011","388003","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","Total","Total","Total","Otro","Total","Total","0.379275152974728","669","1.86781402953046","138.956575165525","254.027357503478","1"
"year","2011","388004","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","Total","Total","Total","Otro","Total","Total","0.385071468214687","840","1.72134131700783","145.978219672659","325.653573713271","1"
"year","2011","388005","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","Total","Total","Total","Otro","Total","Total","0.367016578225343","1222","1.33886718201503","138.391203903477","451.745846941456","1"
"year","2011","388006","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","Total","Total","Total","Otro","Total","Total","0.429815007109978","1121","1.40762481611345","118.076231713975","486.179920967546","1"
"year","2011","388007","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","Total","Total","Total","Otro","Total","Total","0.388117630050469","414","2.27788593243112","127.037009008385","159.2120085405","1"
"year","2011","388008","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","Total","Total","Total","Otro","Total","Total","0.474557845316623","1500","1.2702073617261","114.379680962149","712.298124554813","1"
"year","2011","388009","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","Total","Total","Total","Otro","Total","Total","0.435168808812205","512","1.95613445399095","102.118450843743","223.114576893062","1"
"year","2011","388010","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","Total","Total","Total","Otro","Total","Total","0.353386774551407","2645","0.840827218497962","125.405169588392","940.752858808326","1"
"year","2011","388011","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","Total","Total","Total","Otro","Total","Total","0.392991851808528","1622","1.16189315875378","125.320120636908","637.335539922437","1"
"year","2011","388012","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","Total","Total","Total","Otro","Total","Total","0.450852091135473","1096","1.5437415609631","129.237726266191","495.08195770919","1"
"year","2011","388013","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","Total","Total","Total","Otro","Total","Total","0.373735560642192","2253","1.01046758144663","140.593357761315","841.125702716039","1"
"year","2011","388014","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","Total","Total","Total","Otro","Total","Total","0.47030830191234","4683","0.729772482086343","116.495756758181","2191.36740593892","1"
"year","2011","388001","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","men","Total","Total","Total","Total","Total","0.201427205962137","7420","0.404069197336814","178.509940648981","1507.35294234871","1"
"year","2011","388002","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","men","Total","Total","Total","Total","Total","0.268895165808053","40497","0.217159796790144","196.172228300897","10982.6392596628","1"
"year","2011","388003","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","men","Total","Total","Total","Total","Total","0.188572533423016","8202","0.396914878843218","207.44453918489","1568.14362270416","1"
"year","2011","388004","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","men","Total","Total","Total","Total","Total","0.183929455706374","6967","0.446002536996224","229.274988210246","1299.42217528589","1"
"year","2011","388005","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","men","Total","Total","Total","Total","Total","0.203519014965808","9653","0.372065475269893","194.856363636013","1987.37272971735","1"
"year","2011","388006","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","men","Total","Total","Total","Total","Total","0.226257947447666","15597","0.301541036583435","179.930005055835","3559.47314339342","1"
"year","2011","388007","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","men","Total","Total","Total","Total","Total","0.181307279109411","9165","0.349897251830007","196.666587184026","1667.83124371963","1"
"year","2011","388008","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","men","Total","Total","Total","Total","Total","0.254749423354959","18475","0.289911609433084","167.674536069182","4666.97949478791","1"
"year","2011","388009","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","men","Total","Total","Total","Total","Total","0.217561510167802","7695","0.394918523142101","159.963691543045","1690.90924618265","1"
"year","2011","388010","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","men","Total","Total","Total","Total","Total","0.169525463628166","18732","0.224695565611519","186.12334962814","3190.26605063779","1"
"year","2011","388011","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","men","Total","Total","Total","Total","Total","0.184911126395918","16122","0.267118631593146","193.487318018994","2978.14574382229","1"
"year","2011","388012","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","men","Total","Total","Total","Total","Total","0.221180403144794","16383","0.307281922588228","202.807248530991","3661.2089861617","1"
"year","2011","388013","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","men","Total","Total","Total","Total","Total","0.188088973516793","22143","0.239439333159149","207.392066947845","4171.76555396145","1"
"year","2011","388014","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","men","Total","Total","Total","Total","Total","0.267540460101577","43250","0.194501662128413","165.049513489949","11468.9247797513","1"
"year","2011","388001","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","women","Total","Total","Total","Total","Total","0.7728576319246","6933","0.506303438545353","56.4790123539739","5350.30615059284","1"
"year","2011","388002","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","women","Total","Total","Total","Total","Total","0.777213268646747","32565","0.25387470990218","71.027495932602","25259.0807876564","1"
"year","2011","388003","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","women","Total","Total","Total","Total","Total","0.685509543720737","5274","0.655715261078865","75.7270342563749","3624.62879790684","1"
"year","2011","388004","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","women","Total","Total","Total","Total","Total","0.693507539515576","4248","0.73084839626745","77.3497718889252","2948.65414470891","1"
"year","2011","388005","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","women","Total","Total","Total","Total","Total","0.668937703677213","6045","0.599717410266528","75.1746405193234","4049.47289843542","1"
"year","2011","388006","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","women","Total","Total","Total","Total","Total","0.678645911559344","8898","0.486274148407739","72.7990847135182","6060.9286234111","1"
"year","2011","388007","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","women","Total","Total","Total","Total","Total","0.713136154295435","4360","0.669224838715133","65.6529703755229","3112.22306741439","1"
